work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
2020,Midlevel,Fulltime,Data Scientist,79833,Germany,Large
2020,Senior,Fulltime,Machine Learning Scientist,260000,Japan,Small
2020,Senior,Fulltime,Big Data Engineer,109024,Great Britain,Medium
2020,Midlevel,Fulltime,Product Data Analyst,20000,Honduras,Small
2020,Senior,Fulltime,Machine Learning Engineer,150000,United States,Large
2020,Entry Level,Fulltime,Data Analyst,72000,United States,Large
2020,Senior,Fulltime,Lead Data Scientist,190000,United States,Small
2020,Midlevel,Fulltime,Data Scientist,35735,Hungary,Large
2020,Midlevel,Fulltime,Business Data Analyst,135000,United States,Large
2020,Senior,Fulltime,Lead Data Engineer,125000,New Zealand,Small
2020,Entry Level,Fulltime,Data Scientist,51321,France,Small
2020,Midlevel,Fulltime,Data Scientist,40481,India,Large
2020,Entry Level,Fulltime,Data Scientist,39916,France,Medium
2020,Midlevel,Fulltime,Lead Data Analyst,87000,United States,Large
2020,Midlevel,Fulltime,Data Analyst,85000,United States,Large
2020,Midlevel,Fulltime,Data Analyst,8000,Pakistan,Large
2020,Entry Level,Fulltime,Data Engineer,41689,Japan,Small
2020,Senior,Fulltime,Big Data Engineer,114047,Great Britain,Small
2020,Entry Level,Fulltime,Data Science Consultant,5707,India,Medium
2020,Midlevel,Fulltime,Lead Data Engineer,56000,United States,Medium
2020,Midlevel,Fulltime,Machine Learning Engineer,43331,China,Medium
2020,Midlevel,Fulltime,Product Data Analyst,6072,India,Large
2020,Senior,Fulltime,Data Engineer,47899,Greece,Large
2020,Midlevel,Fulltime,BI Data Analyst,98000,United States,Medium
2020,Midlevel,Fulltime,Lead Data Scientist,115000,United Arab Emirates,Large
2020,Entry Level,Fulltime,Research Scientist,42000,Netherlands,Large
2020,Senior,Fulltime,Data Engineer,33511,Mexico,Small
2020,Entry Level,Contract,Business Data Analyst,100000,United States,Large
2020,Senior,Fulltime,Machine Learning Manager,117104,Canada,Large
2020,Midlevel,Fulltime,Data Engineering Manager,59303,Germany,Small
2020,Entry Level,Fulltime,Big Data Engineer,70000,United States,Large
2020,Senior,Fulltime,Data Scientist,68428,United States,Large
2020,Midlevel,Fulltime,Research Scientist,450000,United States,Medium
2020,Midlevel,Fulltime,Data Analyst,46759,France,Large
2020,Midlevel,Fulltime,Data Engineer,74130,Austria,Large
2020,Midlevel,Fulltime,Data Science Consultant,103000,United States,Large
2020,Entry Level,Fulltime,Machine Learning Engineer,250000,United States,Large
2020,Entry Level,Fulltime,Data Analyst,10000,Nigeria,Small
2020,Entry Level,Fulltime,Machine Learning Engineer,138000,United States,Small
2020,Midlevel,Fulltime,Data Scientist,45760,United States,Small
2020,Midlevel,Fulltime,Machine Learning Infrastructure Engineer,50180,Portugal,Medium
2020,Midlevel,Fulltime,Data Engineer,106000,United States,Large
2020,Midlevel,Fulltime,Data Engineer,112872,Great Britain,Large
2020,Entry Level,Parttime,ML Engineer,15966,Germany,Small
2020,Midlevel,Fulltime,Data Scientist,76958,Great Britain,Small
2020,Senior,Fulltime,Data Engineer,188000,United States,Large
2020,Midlevel,Fulltime,Data Scientist,105000,United States,Large
2020,Midlevel,Fulltime,Data Engineer,70139,France,Large
2020,Entry Level,Fulltime,Data Analyst,6072,India,Small
2020,Entry Level,Fulltime,Data Analyst,91000,United States,Large
2020,Entry Level,Fulltime,AI Scientist,45896,Denmark,Small
2020,Entry Level,Fulltime,Data Engineer,54742,Germany,Large
2020,Senior,Fulltime,Computer Vision Engineer,60000,United States,Small
2020,Senior,Fulltime,Principal Data Scientist,148261,Germany,Medium
2020,Midlevel,Fulltime,Data Scientist,38776,Spain,Medium
2020,Midlevel,Fulltime,Data Scientist,118000,United States,Medium
2020,Senior,Fulltime,Data Scientist,120000,United States,Large
2020,Midlevel,Fulltime,Data Scientist,138350,United States,Medium
2020,Midlevel,Fulltime,Data Engineer,110000,United States,Large
2020,Midlevel,Fulltime,Data Engineer,130800,United States,Medium
2020,Entry Level,Parttime,Data Scientist,21669,Italy,Small
2020,Senior,Fulltime,Data Scientist,412000,United States,Large
2020,Senior,Fulltime,Machine Learning Engineer,45618,Croatia,Small
2020,Entry Level,Fulltime,Data Scientist,62726,Germany,Small
2020,Entry Level,Fulltime,Data Scientist,49268,Germany,Small
2020,Senior,Fulltime,Data Science Manager,190200,United States,Medium
2020,Entry Level,Fulltime,Data Scientist,105000,United States,Small
2020,Senior,Fulltime,Data Scientist,91237,Austria,Small
2020,Midlevel,Fulltime,Data Scientist,62726,Luxembourg,Small
2020,Midlevel,Fulltime,Data Scientist,42197,France,Small
2021,Entry Level,Fulltime,Research Scientist,82528,Great Britain,Large
2021,Senior,Fulltime,Data Scientist,53192,France,Large
2021,Midlevel,Fulltime,BI Data Analyst,100000,United States,Medium
2021,Midlevel,Parttime,3D Computer Vision Researcher,5409,India,Medium
2021,Midlevel,Contract,ML Engineer,270000,United States,Large
2021,Entry Level,Fulltime,Data Analyst,80000,United States,Medium
2021,Senior,Fulltime,Data Analytics Engineer,79197,Germany,Large
2021,Midlevel,Fulltime,Data Engineer,140000,United States,Large
2021,Midlevel,Fulltime,Applied Data Scientist,54238,Canada,Large
2021,Midlevel,Fulltime,Machine Learning Engineer,47282,Spain,Small
2021,Midlevel,Fulltime,Data Engineer,28476,Poland,Large
2021,Entry Level,Fulltime,Data Analyst,59102,France,Medium
2021,Midlevel,Fulltime,Data Analytics Engineer,110000,United States,Large
2021,Senior,Fulltime,Lead Data Analyst,170000,United States,Large
2021,Senior,Fulltime,Data Analyst,80000,United States,Small
2021,Senior,Fulltime,Marketing Data Analyst,88654,Denmark,Large
2021,Entry Level,Fulltime,Data Science Consultant,76833,Germany,Small
2021,Midlevel,Fulltime,Lead Data Analyst,19609,India,Large
2021,Senior,Fulltime,Lead Data Engineer,276000,United States,Large
2021,Entry Level,Fulltime,Data Scientist,29751,India,Large
2021,Midlevel,Fulltime,Cloud Data Engineer,89294,Singapore,Large
2021,Entry Level,Parttime,AI Scientist,12000,United States,Small
2021,Midlevel,Fulltime,Financial Data Analyst,450000,United States,Large
2021,Entry Level,Fulltime,Computer Vision Software Engineer,70000,United States,Medium
2021,Midlevel,Fulltime,Computer Vision Software Engineer,95746,United States,Small
2021,Midlevel,Fulltime,Data Analyst,75000,United States,Large
2021,Senior,Fulltime,Data Engineer,150000,United States,Large
2021,Midlevel,Fulltime,BI Data Analyst,36259,United States,Large
2021,Midlevel,Fulltime,Data Analyst,62000,United States,Large
2021,Midlevel,Fulltime,Data Scientist,73000,United States,Large
2021,Midlevel,Fulltime,Data Analyst,51519,Great Britain,Large
2021,Midlevel,Fulltime,Research Scientist,187442,Canada,Large
2021,Senior,Fulltime,Data Engineer,115000,United States,Small
2021,Senior,Fulltime,Data Engineer,150000,United States,Medium
2021,Entry Level,Fulltime,Data Engineer,30428,India,Large
2021,Senior,Fulltime,Machine Learning Engineer,94564,Germany,Large
2021,Senior,Fulltime,Director of Data Engineering,113476,Great Britain,Medium
2021,Senior,Fulltime,Lead Data Engineer,103160,Great Britain,Small
2021,Entry Level,Parttime,AI Scientist,12000,United States,Medium
2021,Midlevel,Fulltime,Data Engineer,45391,Netherlands,Large
2021,Entry Level,Fulltime,Machine Learning Scientist,225000,United States,Large
2021,Midlevel,Fulltime,Data Scientist,50000,Nigeria,Large
2021,Midlevel,Fulltime,Data Science Engineer,40189,Greece,Medium
2021,Entry Level,Fulltime,Data Analyst,90000,United States,Small
2021,Midlevel,Fulltime,Data Engineer,200000,United States,Large
2021,Midlevel,Fulltime,Big Data Engineer,60000,Romania,Medium
2021,Senior,Fulltime,Principal Data Engineer,200000,United States,Medium
2021,Entry Level,Fulltime,Data Analyst,50000,United States,Medium
2021,Entry Level,Fulltime,Applied Data Scientist,110037,Great Britain,Large
2021,Entry Level,Parttime,Data Analyst,10354,Spain,Medium
2021,Midlevel,Fulltime,Principal Data Scientist,151000,United States,Large
2021,Senior,Fulltime,Machine Learning Scientist,120000,United States,Small
2021,Midlevel,Fulltime,Data Scientist,9466,India,Small
2021,Entry Level,Fulltime,Machine Learning Engineer,20000,India,Small
2021,Senior,Fulltime,Lead Data Scientist,40570,India,Large
2021,Entry Level,Fulltime,Machine Learning Developer,100000,Iraq,Small
2021,Entry Level,Fulltime,Data Scientist,49646,France,Medium
2021,Midlevel,Fulltime,Applied Machine Learning Scientist,38400,United States,Medium
2021,Senior,Fulltime,Computer Vision Engineer,24000,Brazil,Medium
2021,Entry Level,Fulltime,Data Scientist,100000,United States,Small
2021,Midlevel,Fulltime,Data Analyst,90000,United States,Medium
2021,Midlevel,Fulltime,ML Engineer,63711,Japan,Small
2021,Midlevel,Fulltime,ML Engineer,77364,Japan,Small
2021,Senior,Fulltime,Principal Data Scientist,220000,United States,Large
2021,Entry Level,Fulltime,Data Scientist,80000,United States,Medium
2021,Midlevel,Fulltime,Data Analyst,135000,United States,Large
2021,Senior,Fulltime,Data Science Manager,240000,United States,Large
2021,Senior,Fulltime,Data Engineering Manager,150000,United States,Large
2021,Midlevel,Fulltime,Data Scientist,82500,United States,Small
2021,Midlevel,Fulltime,Data Engineer,100000,United States,Large
2021,Senior,Fulltime,Machine Learning Engineer,82744,Belgium,Medium
2021,Midlevel,Fulltime,Research Scientist,62649,France,Medium
2021,Midlevel,Fulltime,Data Engineer,90000,United States,Large
2021,Senior,Fulltime,Data Engineering Manager,153000,United States,Large
2021,Senior,Fulltime,Cloud Data Engineer,160000,United States,Small
2021,Senior,Fulltime,Director of Data Science,168000,Japan,Small
2021,Midlevel,Fulltime,Data Scientist,150000,United States,Medium
2021,Midlevel,Fulltime,Data Scientist,75774,Canada,Large
2021,Entry Level,Fulltime,Data Scientist,13400,Ukraine,Large
2021,Senior,Fulltime,Data Science Manager,144000,United States,Large
2021,Senior,Fulltime,Data Science Engineer,127221,Canada,Large
2021,Midlevel,Fulltime,Data Scientist,119059,Israel,Medium
2021,Midlevel,Fulltime,Applied Machine Learning Scientist,423000,United States,Large
2021,Senior,Fulltime,Data Analytics Manager,120000,United States,Medium
2021,Entry Level,Fulltime,Machine Learning Engineer,125000,United States,Small
2021,Midlevel,Fulltime,Data Engineer,28369,Malta,Large
2021,Entry Level,Fulltime,Data Science Consultant,63831,Germany,Large
2021,Senior,Fulltime,Data Specialist,165000,United States,Large
2021,Entry Level,Fulltime,Data Engineer,80000,United States,Large
2021,Entry Level,Fulltime,BI Data Analyst,55000,United States,Small
2021,Midlevel,Fulltime,Data Architect,150000,United States,Large
2021,Midlevel,Fulltime,Data Architect,170000,United States,Large
2021,Midlevel,Fulltime,Data Engineer,82528,Great Britain,Large
2021,Entry Level,Fulltime,Data Analyst,60000,United States,Small
2021,Senior,Fulltime,Principal Data Scientist,235000,United States,Large
2021,Senior,Fulltime,Research Scientist,60757,Portugal,Large
2021,Senior,Fulltime,Data Engineering Manager,174000,United States,Large
2021,Midlevel,Fulltime,Data Scientist,2859,Mexico,Small
2021,Midlevel,Fulltime,Data Scientist,40038,Chile,Large
2021,Entry Level,Fulltime,Machine Learning Engineer,81000,United States,Small
2021,Midlevel,Fulltime,Data Scientist,5679,United States,Small
2021,Midlevel,Fulltime,Big Data Engineer,22611,India,Large
2021,Midlevel,Fulltime,Data Scientist,90734,Germany,Large
2021,Midlevel,Fulltime,Data Engineer,26005,United States,Large
2021,Senior,Fulltime,Finance Data Analyst,61896,Great Britain,Large
2021,Midlevel,Fulltime,Machine Learning Scientist,12000,Pakistan,Medium
2021,Midlevel,Fulltime,Data Engineer,4000,Iran,Medium
2021,Senior,Fulltime,Data Analytics Engineer,50000,Great Britain,Medium
2021,Senior,Fulltime,Data Engineer,76833,Great Britain,Small
2021,Midlevel,Fulltime,Machine Learning Engineer,74000,Japan,Small
2021,Senior,Fulltime,Data Science Manager,152000,France,Large
2021,Entry Level,Fulltime,Machine Learning Engineer,21844,Colombia,Medium
2021,Midlevel,Fulltime,Big Data Engineer,18000,Moldova,Small
2021,Senior,Fulltime,Data Science Manager,174000,United States,Large
2021,Senior,Fulltime,Research Scientist,96113,Canada,Large
2021,Midlevel,Fulltime,Data Scientist,147000,United States,Large
2021,Entry Level,Fulltime,BI Data Analyst,9272,Kenya,Small
2021,Senior,Fulltime,Machine Learning Engineer,24342,India,Large
2021,Senior,Fulltime,Data Science Manager,54094,United States,Large
2021,Entry Level,Fulltime,Data Science Consultant,90000,United States,Small
2021,Midlevel,Fulltime,Data Scientist,61467,Austria,Medium
2021,Senior,Fulltime,Machine Learning Infrastructure Engineer,195000,United States,Medium
2021,Midlevel,Fulltime,Data Scientist,37825,Spain,Large
2021,Senior,Fulltime,Research Scientist,50000,United States,Small
2021,Midlevel,Fulltime,Data Scientist,160000,United States,Large
2021,Midlevel,Fulltime,Data Scientist,12901,Brazil,Small
2021,Senior,Fulltime,Machine Learning Engineer,200000,United States,Large
2021,Senior,Fulltime,Data Engineer,165000,United States,Medium
2021,Midlevel,Fulltime,Data Engineer,20000,United States,Large
2021,Senior,Fulltime,Data Analytics Manager,120000,United States,Large
2021,Midlevel,Fulltime,Machine Learning Engineer,24823,Slovenia,Large
2021,Midlevel,Fulltime,Research Scientist,56738,France,Small
2021,Midlevel,Fulltime,Data Engineer,66022,Great Britain,Small
2021,Entry Level,Fulltime,Big Data Engineer,5882,Switzerland,Large
2021,Entry Level,Fulltime,Machine Learning Engineer,24823,Germany,Medium
2021,Senior,Fulltime,Principal Data Engineer,185000,United States,Large
2021,Entry Level,Parttime,Computer Vision Engineer,28609,Denmark,Small
2021,Midlevel,Fulltime,Machine Learning Engineer,88654,Belgium,Medium
2021,Senior,Fulltime,Data Analytics Manager,140000,United States,Large
2021,Midlevel,Fulltime,Machine Learning Engineer,46597,Poland,Large
2021,Midlevel,Fulltime,Data Scientist,116914,Great Britain,Large
2021,Midlevel,Fulltime,Data Scientist,33808,India,Medium
2021,Midlevel,Fulltime,Data Scientist,56256,Great Britain,Large
2021,Senior,Fulltime,Machine Learning Scientist,225000,Canada,Large
2021,Senior,Fulltime,Data Scientist,87738,Canada,Small
2021,Midlevel,Fulltime,Data Scientist,88654,Germany,Large
2021,Senior,Fulltime,Data Scientist,135000,United States,Large
2021,Senior,Fulltime,Data Analyst,71786,Canada,Medium
2021,Entry Level,Fulltime,Big Data Engineer,16228,India,Large
2021,Senior,Fulltime,ML Engineer,256000,United States,Small
2021,Senior,Fulltime,Director of Data Engineering,200000,United States,Large
2021,Senior,Fulltime,Data Analyst,200000,United States,Large
2021,Midlevel,Fulltime,Data Architect,180000,United States,Large
2021,Midlevel,Fulltime,Head of Data Science,110000,United States,Small
2021,Midlevel,Fulltime,Research Scientist,63810,Canada,Medium
2021,Midlevel,Fulltime,Data Scientist,46809,Spain,Medium
2021,Entry Level,Fulltime,Data Scientist,4000,Vietnam,Medium
2021,Entry Level,Fulltime,Data Engineer,21637,India,Medium
2021,Senior,Fulltime,Data Scientist,103691,Canada,Large
2021,Midlevel,Fulltime,Data Analyst,80000,United States,Large
2021,Midlevel,Fulltime,Data Engineer,110000,United States,Large
2021,Senior,Fulltime,Data Scientist,165000,United States,Large
2021,Entry Level,Fulltime,AI Scientist,18053,American Samoa,Small
2021,Midlevel,Fulltime,Data Engineer,72212,Great Britain,Large
2021,Entry Level,Fulltime,Data Scientist,36643,France,Large
2021,Midlevel,Fulltime,Data Engineer,12103,Turkey,Medium
2021,Senior,Fulltime,Data Engineer,96282,Great Britain,Large
2021,Senior,Fulltime,Principal Data Analyst,170000,United States,Medium
2021,Midlevel,Fulltime,Data Scientist,115000,United States,Large
2021,Entry Level,Fulltime,Data Scientist,90000,United States,Small
2021,Entry Level,Fulltime,Data Scientist,28399,India,Medium
2021,Midlevel,Fulltime,Data Analyst,93000,United States,Large
2021,Senior,Fulltime,Big Data Architect,99703,Canada,Medium
2021,Senior,Fulltime,Principal Data Scientist,173762,Germany,Medium
2021,Senior,Fulltime,Machine Learning Engineer,185000,United States,Large
2021,Midlevel,Fulltime,Data Scientist,130000,United States,Large
2021,Senior,Fulltime,Data Analyst,63831,Germany,Large
2021,Midlevel,Fulltime,Data Scientist,16904,India,Small
2021,Senior,Fulltime,Machine Learning Engineer,66265,India,Large
2021,Midlevel,Fulltime,Data Scientist,25532,Germany,Small
2021,Senior,Fulltime,Lead Data Engineer,160000,United States,Small
2021,Midlevel,Fulltime,Data Engineer,93150,United States,Medium
2021,Midlevel,Fulltime,Data Engineer,111775,United States,Medium
2021,Midlevel,Fulltime,Data Engineer,28016,Turkey,Medium
2021,Entry Level,Fulltime,Data Engineer,65013,Germany,Medium
2021,Entry Level,Fulltime,Data Engineer,72500,United States,Large
2021,Senior,Fulltime,Computer Vision Engineer,18907,Brazil,Medium
2021,Entry Level,Fulltime,Data Science Consultant,76833,Germany,Large
2021,Entry Level,Fulltime,Machine Learning Engineer,85000,Germany,Small
2021,Senior,Fulltime,Data Scientist,77684,France,Medium
2021,Entry Level,Fulltime,Data Scientist,100000,United States,Medium
2021,Entry Level,Fulltime,Data Scientist,58000,United States,Large
